id,reason_for_absence,month_of_absence,day_of_the_week,seasons,transportation_expense,distance_from_residence_to_work,service_time,age,work_load_average_day,hit_target,disciplinary_failure,education,son,social_drinker,social_smoker,pet,weight,height,body_mass_index,absenteeism_time_in_hours,absenteeism_risk,predicted_absenteeism_hours,predicted_absenteeism_risk,employee_cluster
11,26,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,4,low,4.87,low,0
36,0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31,0,low,3.6,low,1
3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,low,3.4273333333333333,low,1
7,7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,4,low,5.88,low,0
11,23,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,2,low,3.27,low,0
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,low,2.3,low,1
10,22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8,low,7.9,low,2
20,23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,4,low,4.133333333333334,low,0
14,19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,40,high,42.43,high,1
1,22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,8,low,7.94,low,0
20,1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,low,10.41,low,0
20,1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,low,8.92,low,0
20,11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,low,8.63,low,0
3,11,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,1,low,2.65,low,1
3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,4,low,3.4273333333333333,low,1
24,14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8,low,9.3,low,0
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,low,2.3,low,1
3,21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8,low,7.11,low,1
6,11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,8,low,8.83,low,1
33,23,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32,2,low,2.235,low,0
18,10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25,8,low,11.68,low,2
3,11,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,1,low,4.14,low,1
10,13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,40,high,31.05,high,2
20,28,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4,low,4.154999999999999,low,0
11,18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,low,18.1,low,0
10,25,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,7,low,6.17,low,2
11,23,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,1,low,3.01,low,0
30,28,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0,75,185,22,4,low,4.083333333333334,low,1
11,18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,low,17.88,low,0
3,23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,low,2.185,low,1
3,18,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,8,low,6.53,low,1
2,18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,low,28.62,low,0
1,23,8,5,1,235,11,14,37,205.917,92,0,3,1,0,0,1,88,172,29,4,low,4.01,low,0
2,18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,low,26.23,low,0
3,23,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,low,2.44,low,1
10,23,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,1,low,2.94,low,2
11,24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,low,6.68,low,0
19,11,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0,65,169,23,4,low,10.62,low,0
2,28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,low,5.963333333333334,low,0
